ticker,name,exchange,category name,country,,,
PIG.PA,Haulotte Group SA,PAR,Trucks & Other Vehicles,France,,,
OPN.PA,Groupe Open,PAR,Information Technology Services,France,,,
NOA3.DE,Nokia Corporation,FRA,Communication Equipment,France,,,
NK.PA,Imerys SA,PAR,General Building Materials,France,,,
NANO.PA,Nanobiotix SA,PAR,Drug Manufacturers - Major,France,,,
MMT.PA,Métropole Télévision S.A.,PAR,Broadcasting - TV,France,,,
MLSTR.PA,Streit Mecanique SA,PAR,Auto Parts,France,,,
MLSIM.PA,Simo International Société Anonyme,PAR,Textile - Apparel Footwear & Accessories,France,,,
MLRAM.PA,Raphaël Michel S.A.,PAR,Beverages - Wineries & Distillers,France,,,
MLNOV.PA,Novatech Industries,PAR,Diversified Electronics,France,,,
MLHBB.PA,Financiere Hoche Bains-Les-Bains SA,PAR,Mortgage Investment,France,,,
MLCNT.PA,Consort NT SA,PAR,Information Technology Services,France,,,
MF.PA,Wendel,PAR,Asset Management,France,,,
MERY.PA,Mercialys S.A.,PAR,REIT - Retail,France,,,
MED.PA,Medasys S.A.,PAR,Healthcare Information Services,France,,,
MAGIS.PA,Ymagis Société Anonyme,PAR,Entertainment - Diversified,France,,,
LBON.PA,Compagnie Lebon,PAR,Asset Management,France,,,
LACR.PA,Lacroix SA,PAR,Scientific & Technical Instruments,France,,,
KN.PA,Natixis S.A.,PAR,Money Center Banks,France,,,
JBOG.PA,Jacques Bogart S.A.,PAR,Personal Products,France,,,
ITE.PA,Itesoft SA,PAR,Technical & System Software,France,,,
IPS.PA,Ipsos SA,PAR,Marketing Services,France,,,
IPN.PA,Ipsen S.A.,PAR,Drugs - Generic,France,,,
IPH.PA,Innate Pharma S.A.,PAR,Biotechnology,France,,,
IML.PA,Affine R.E.,PAR,REIT - Diversified,France,,,
GZF.DE,ENGIE SA,FRA,Diversified Utilities,France,,,
GTT.PA,Gaztransport & Technigaz S.A.,PAR,Diversified Machinery,France,,,
GFI.PA,GFI Informatique SA,PAR,Information Technology Services,France,,,
GFC.PA,Gecina SA,PAR,REIT - Diversified,France,,,
GEA.PA,Grenobloise d'Electronique et d'Automatismes Société Anonyme,PAR,Business Equipment,France,,,
GBT.PA,Guerbet SA,PAR,Medical Appliances & Equipment,France,,,
FREY.PA,Frey SA,PAR,REIT - Retail,France,,,
FPN.PA,Foncière Paris Nord,PAR,REIT - Office,France,,,
FPG.PA,Union Technologies Informatique Group S.A.,PAR,Information Technology Services,France,,,
FNTS.PA,Finatis Société Anonyme,PAR,Food Wholesale,France,,,
FNAC.PA,Fnac Darty SA,PAR,Specialty Retail, Other,France,,,
FMC1.F,Ford Motor Company,FRA,Auto Manufacturers - Major,France,,,
FFP.PA,FFP Société anonyme,PAR,Asset Management,France,,,
FEM.PA,auFeminin.com,PAR,Internet Information Providers,France,,,
FBEL.PA,Fromageries Bel,PAR,Food - Major Diversified,France,,,
FAYE.PA,Fayenceries de Sarreguemines, Digoin & Vitry-le-Francois Société Anonyme,PAR,Personal Products,France,,,
CIV.PA,Caisse Régionale De Crédit Agricole Mutuel D'ille-Et-Vilaine,PAR,Money Center Banks,France,,,
CGM.PA,Cegedim SA,PAR,Healthcare Information Services,France,,,
BOL.PA,Bollore,PAR,Air Delivery & Freight Services,France,,,
BELI.PA,Le Bélier S.A.,PAR,Auto Parts,France,,,
ALUMS.PA,Umanis SA,PAR,Information Technology Services,France,,,
ALTRA.PA,Traqueur SA,PAR,Scientific & Technical Instruments,France,,,
ALTER.PA,Theradiag SA,PAR,Medical Laboratories & Research,France,,,
ALINN.PA,Millet Innovation SA,PAR,Personal Products,France,,,
ALHVS.PA,Harvest S.A.,PAR,Business Software & Services,France,,,
ALGEN.PA,genOway Société Anonyme,PAR,Biotechnology,France,,,
ALCLS.PA,Cellectis S.A.,PAR,Biotechnology,France,,,
ALCLA.PA,Clasquin S.A.,PAR,Air Delivery & Freight Services,France,,,
ALBUD.PA,Budget Telecom S.A.,PAR,Wireless Communications,France,,,
ALALO.PA,Acheter-Louer.Fr SA,PAR,Advertising Agencies,France,,,
